bed              closet                6.72
movie            critic                6.73
Arafat           peace                 6.73
problem          challenge             6.75
love             sex                   6.77
television       radio                 6.77
computer         laboratory            6.78
football         basketball            6.81
concert          virtuoso              6.81
student          professor             6.81
psychology       fear                  6.85
drug             abuse                 6.85
tiger            mammal                6.85
cup              tableware             6.85
drink            eating                6.87
street           block                 6.88
opera            performance           6.88
money            withdrawal            6.88
FBI              fingerprint           6.94
game             defeat                6.97
psychology       anxiety                7
tiger            animal                 7
doctor           nurse                  7
stroke           hospital              7.03
game             victory               7.03
liability        insurance             7.03
company          stock                 7.08
tiger            carnivore             7.08
bird             cock                  7.1
phone            equipment             7.13
investor         earning               7.13
summer           drought               7.16
museum           theater               7.19
psychology       health                7.23
cup              drink                 7.25
jaguar           car                   7.27
money            possession            7.29
country          citizen               7.31
tiger            cat                   7.35
physics          chemistry             7.35
movie            star                  7.38
dollar           profit                7.38
bird             crane                 7.38
hundred          percent               7.38
fighting         defeating             7.41
psychology       depression            7.42
jaguar           cat                   7.42
medium           radio                 7.42
Mexico           Brazil                7.44
book             library               7.46
book             paper                 7.46
seafood          sea                   7.47
marathon         sprint                7.47
psychology       cognition             7.48
telephone        communication         7.5
currency         market                7.5
food             fruit                 7.52
day              dawn                  7.53
canyon           landscape             7.53
announcement     news                  7.56
tennis           racket                7.56
money            property              7.57
computer         internet              7.58
rock             jazz                  7.59
century          year                  7.59
boxing           round                 7.61
computer         keyboard              7.62
dividend         payment               7.63
profit           loss                  7.63
Jerusalem        Palestinian           7.65
Arafat           terror                7.65
psychology       mind                  7.69
admission        ticket                7.69
game             team                  7.69
television       film                  7.72
money            deposit               7.73
wood             forest                7.73
dollar           yen                   7.78
lobster          food                  7.81
cell             phone                 7.81
aluminum         metal                 7.83
baby             mother                7.85
life             death                 7.88
liquid           water                 7.89
treatment        recovery              7.91
planet           space                 7.92
movie            theater               7.92
planet           astronomer            7.94
soap             opera                 7.94
tiger            feline                 8
tiger            jaguar                 8
closet           clothes                8
planet           sun                   8.02
hotel            reservation           8.03
planet           constellation         8.06
credit           card                  8.06
psychology       psychiatry            8.08
stock            market                8.08
planet           moon                  8.08
planet           galaxy                8.11
physics          proton                8.12
bank             money                 8.12
Harvard          Yale                  8.13
vodka            brandy                8.13
war              troops                8.13
news             report                8.16
psychology       Freud                 8.21
money            wealth                8.27
man              woman                 8.3
FBI              investigation         8.31
nature           environment           8.31
network          hardware              8.31
seafood          food                  8.34
weather          forecast              8.34
championship     tournament            8.36
law              lawyer                8.38
money            dollar                8.42
calculation      computation           8.44
planet           star                  8.45
vodka            gin                   8.46
Jerusalem        Israel                8.46
money            bank                  8.5
computer         software              8.5
murder           manslaughter          8.53
king             queen                 8.58
OPEC             oil                   8.59
Maradona         football              8.62
mile             kilometer             8.66
seafood          lobster               8.7
furnace          stove                 8.79
environment      ecology               8.81
boy              lad                   8.83
asylum           madhouse              8.87
street           avenue                8.88
car              automobile            8.94
gem              jewel                 8.96
type             kind                  8.97
magician         wizard                9.02
football         soccer                9.03
money            currency              9.04
money            cash                  9.08
coast            shore                 9.1
money            cash                  9.15
dollar           buck                  9.22
journey          voyage                9.29
midday           noon                  9.29
fuck             sex                   9.44
tiger            tiger                  10
